campo_padronizado,coluna_original_2023,coluna_original_2024,coluna_original_2025_2026,anos_presente
oracle_bd,"('P4_g_2 ', 'Oracle')",4.g.2_Oracle,4.d.2_Oracle,3
oracle_bi,"('P4_j_15 ', 'Oracle Business Intelligence')",4.j.12_Oracle Business Intelligence,4.g.12_Oracle Business Intelligence,3
oracle_cloud,"('P4_h_4 ', 'Oracle Cloud')",4.h.4_Oracle Cloud,4.e.4_Oracle Cloud,3
oracle_data_integrator,"('P6_b_13 ', 'Oracle Data Integrator')",6.b.13_Oracle Data Integrator,6.b.13_Oracle Data Integrator,3
oracle_data_integrator_analista,"('P7_b_13 ', 'Oracle Data Integrator')",7.b.13_Oracle Data Integrator,7.b.13_Oracle Data Integrator,3
organizacao_treinamentos_iniciat_para_maior_maturidade_analitica,"('P3_c_2 ', 'Organização de treinamentos e iniciativas com o objetivo de aumentar a maturidade analítica das áreas de negócios.')",3.c.2_Organização de treinamentos e iniciativas,3.c.2_Organização de treinamentos e iniciativas,3
organizar_info_resguard_quali_confiab,"('P3_d_6 ', 'f Organizar as informações e garantir a qualidade e confiabilidade.')",3.d.6_Organizar as informações com qualidade e confiabilidade,3.d.6_Organizar as informações com qualidade e confiabilidade,3
pais,,1.h_pais_onde_mora,1.h_pais_onde_mora,2
papeis_cargos_no_time_empresa,"('P3_b ', 'Quais desses papéis/cargos fazem parte do time (ou chapter) de dados da sua empresa?')",3.b_cargos_no_time_de_dados_da_empresa,3.b_cargos_no_time_de_dados_da_empresa,3
participou_entrevistas_ult_6_meses,"('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')",2.m_participou_de_entrevistas_ultimos_6m,2.m_participou_de_entrevistas_ultimos_6m,3
pbi,"('P4_j_1 ', 'Microsoft PowerBI')",4.j.1_Microsoft PowerBI,4.g.1_Microsoft PowerBI,3
pcd,"('P1_d ', 'PCD')",1.d_pcd,1.d_pcd,3
pentaho,"('P4_j_21 ', 'Pentaho')",4.j.16_Pentaho,4.g.16_Pentaho,3
pentaho_analista,"('P6_b_8 ', 'Pentaho')",7.b.8_Pentaho,7.b.8_Pentaho,3
php,"('P4_d_13 ', 'PHP')",4.d.13_PHP,,2
pipeline_dados_ling_prog,"('P6_a_1 ', 'Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')","6.a.1_Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.","6.a.1_Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",3
pipelines_com_codigo,"('P6_h_1 ', 'Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')","6.h.1_Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.","6.h.1_Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",3
planilha,"('P4_b_7 ', 'Planilhas')",4.b.7_Planilhas,4.b.7_Planilhas,3
planilha_excel_cientista,"('P8_c_2 ', 'Planilhas (Excel, Google Sheets etc)')","8.c.2_Planilhas (Excel, Google Sheets etc).","8.c.2_Planilhas (Excel, Google Sheets etc).",3
planilha_fonte,"('P4_c_7 ', 'Planilhas')",4.c.7_Planilhas,,2
plano_carreira_oport_cresc_prof_escolha_emprego,"('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')",2.o.7_Plano de carreira e oportunidades de crescimento,2.o.7_Plano de carreira e oportunidades de crescimento,3
plano_carreira_oport_cresc_prof_insatisfacao,,2.l.7_Oportunidades de crescimento,2.l.7_Oportunidades de crescimento,2
plataforma_ml_cientista,"('P8_c_7 ', 'Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc)')","8.c.7_Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc).","8.c.7_Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc).",3
point_click,"('P7_c_2 ', '""""Point and Click"""" Analytics como Alteryx, Knime, Rapidminer etc.')","7.c.2_""Point and Click"" Analytics como Alteryx, Knime, Rapidminer etc.","7.c.2_""Point and Click"" Analytics como Alteryx, Knime, Rapidminer etc.",3
postgre_sql,"('P4_g_12 ', 'PostgreSQL')",4.g.12_PostgreSQL,4.d.12_PostgreSQL,3
preocupacao_prop_intelectual,"('P3_g_9 ', 'Preocupações com propriedade intelectual')",3.g.9 Preocupações com propriedade intelectual,3.h.9 Preocupações com propriedade intelectual,3
presto,"('P4_g_29 ', 'Presto')",4.g.29_Presto,4.d.29_Presto,3
principais_criterios_levados_decidir_trab_escolha_emprego,"('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')",2.o_criterios_para_escolha_de_emprego,2.o_criterios_para_escolha_de_emprego,3
processar_armazenar_big_data,"('P3_d_7 ', 'g Conseguir processar e armazenar um alto volume de dados.')",3.d.7_Processar e armazenar um alto volume de dados,3.d.7_Processar e armazenar um alto volume de dados,3
product_metrics_insight,"('P7_c_3 ', 'Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.')","7.c.3_Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.","7.c.3_Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.",3
proposito_trabalho_empresa_escolha_emprego,"('P2_o_3 ', 'Propósito do trabalho e da empresa')",2.o.3_Propósito do trabalho e da empresa,2.o.3_Propósito do trabalho e da empresa,3
proposito_trabalho_empresa_insatisfacao,,2.l.3_Propósito do trabalho e da empresa,2.l.3_Propósito do trabalho e da empresa,2
python,"('P4_d_3 ', 'Python')",4.d.3_Python,4.c.3_Python,3
python_analista,"('P7_b_1 ', 'Scripts Python')",7.b.1_Scripts Python,7.b.1_Scripts Python,3
qlik_sense,"('P6_b_18 ', 'Qlik Sense')",6.b.18_Qlik Sense,6.b.18_Qlik Sense,3
qlik_sense_analista,"('P7_b_18 ', 'Qlik Sense')",7.b.18_Qlik Sense,7.b.18_Qlik Sense,3
qlik_view_sense,"('P4_j_2 ', 'Qlik View/Qlik Sense')",4.j.2_Qlik View/Qlik Sense,4.g.2_Qlik View/Qlik Sense,3
qtd_oportunidades_vagas_emprego_receb,"('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')",1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,3
quali_dados_dicionario,"('P6_a_8 ', 'Cuido da qualidade dos dados, metadados e dicionário de dados.')","6.a.8_Cuido da qualidade dos dados, metadados e dicionário de dados.","6.a.8_Cuido da qualidade dos dados, metadados e dicionário de dados.",3
qualidade_dados_tmp_gasto,"('P6_h_8 ', 'Cuidando da qualidade dos dados, metadados e dicionário de dados.')","6.h.8_Cuidando da qualidade dos dados, metadados e dicionário de dados.","6.h.8_Cuidando da qualidade dos dados, metadados e dicionário de dados.",3
qualidade_lideres_gestores_escolha_emprego,"('P2_o_9 ', 'Qualidade dos gestores e líderes')",2.o.9_Qualidade dos gestores e líderes,2.o.9_Qualidade dos gestores e líderes,3
qualidade_lideres_gestores_insatisfacao,,2.l.9_Relação com os gestores e líderes,2.l.9_Relação com os gestores e líderes,2
r,"('P4_d_2 ', 'R ')",4.d.2_R,4.c.2_R,3
redash,"('P4_j_6 ', 'Redash')",4.j.6_Redash,4.g.6_Redash,3
redes_neurais_odelo_arvore,"('P8_b_2 ', 'Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação')",8.b.2_Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação.,8.b.2_Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação.,3
redis,"('P4_g_20 ', 'Redis')",4.g.20_Redis,4.d.20_Redis,3
regiao,"('P1_i_2 ', 'Regiao onde mora')",1.i.2_regiao_onde_mora,1.i.2_regiao_onde_mora,3
regiao_origem,"('P1_k ', 'Regiao de origem')",1.k.2_regiao_de_origem,1.k.2_regiao_de_origem,3
regressao_logistica_glm,"('P8_b_1 ', 'Utilizo modelos de regressão (linear, logística, GLM)')","8.b.1_Utilizo modelos de regressão (linear, logística, GLM).","8.b.1_Utilizo modelos de regressão (linear, logística, GLM).",3
rel_outros_membros_empresa_em_trabalho,"('P1_f_8', 'Relação com outros membros da empresa, em momentos de trabalho')","1.f.8_Relação com outras pessoas da empresa, em momentos de trabalho","1.f.8_Relação com outras pessoas da empresa, em momentos de trabalho",3
rel_outros_membros_empresa_integracao_fora_trab,"('P1_f_9', 'Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho')","1.f.9_Relação com outras pessoas da empresa, em momentos de integração e outros momentos fora do trabalho","1.f.9_Relação com outras pessoas da empresa, em momentos de integração e outros momentos fora do trabalho",3
rel_ruim_lider_gestor_insatisfacao,"('P2_l_3 ', 'Não tenho uma boa relação com meu líder/gestor')",,,1
relatorios_sql_exportados,"('P6_a_3 ', 'Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",6.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,6.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,3
remuneracao_salario_escolha_emprego,"('P2_o_1 ', 'Remuneração/Salário')",2.o.1_Remuneração/Salário,2.o.1_Remuneração/Salário,3
remuneracao_salario_insatisfacao,,2.l.1_Remuneração/Salário,2.l.1_Remuneração/Salário,2
rep_empresa_mercado_escolha_emprego,"('P2_o_10 ', 'Reputação que a empresa tem no mercado')",2.o.10_Reputação que a empresa tem no mercado,2.o.10_Reputação que a empresa tem no mercado,3
rep_empresa_mercado_insatisfacao,,2.l.10_Reputação que a empresa tem no mercado,2.l.10_Reputação que a empresa tem no mercado,2
resp_rotina_atual_como_gestor,"('P3_c ', 'Quais dessas responsabilidades fazem parte da sua rotina atual de trabalho como gestor?')",3.c_responsabilidades_como_gestor,3.c_responsabilidades_como_gestor,3
reter_talentos,"('P3_d_2 ', 'b Reter talentos.')",3.d.2_Reter talentos,3.d.2_Reter talentos,3
retorno_roi_nao_comprovado_ia_gen,"('P3_g_5 ', 'Retorno sobre investimento (ROI) não comprovado de IA Generativa')",3.g.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,3.h.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,3
retorno_roi_projeto_dados,"('P3_d_13 ', 'Garantir retorno do investimento (ROI) em projetos de dados.')",3.d.13_Garantir (ROI) em projetos de dados,3.d.13_Garantir (ROI) em projetos de dados,3
rotina_engenheiro_dados,"('P6_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual como engenheiro de dados?')",6.a_rotina_como_de,6.a_rotina_como_de,3
rotina_trabalho_cientista,"('P8_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual com ciência de dados?')",8.a_rotina_como_ds,8.a_rotina_como_ds,3
rust,"('P4_d_12 ', 'Rust')",4.d.12_Rust,4.c.9_Rust,3
s3,"('P4_g_11 ', 'S3')",4.g.11_S3,4.d.11_S3,3
salario_atual_n_corresponde_mercado_insatisfacao,"('P2_l_2 ', 'Salário atual não corresponde ao mercado')",,,1
salesforce_einstein_analytics,"('P4_j_16 ', 'Salesforce/Einstein Analytics')",4.j.13_Salesforce/Einstein Analytics,4.g.13_Salesforce/Einstein Analytics,3
sap_business_objects,"('P4_j_14 ', 'SAP Business Objects/SAP Analytics')",4.j.11_SAP Business Objects/SAP Analytics,4.g.11_SAP Business Objects/SAP Analytics,3
sap_bw_etl,"('P6_b_15 ', 'SAP BW ETL')",6.b.15_SAP BW ETL,6.b.15_SAP BW ETL,3
sap_bw_etl_analista,"('P7_b_15 ', 'SAP BW ETL')",7.b.15_SAP BW ETL,7.b.15_SAP BW ETL,3
sap_hana,"('P4_g_31 ', 'SAP HANA')",4.g.31_SAP HANA,4.d.31_SAP HANA,3
sas_data_integration,"('P6_b_17 ', 'SAS Data Integration')",6.b.17_SAS Data Integration,6.b.17_SAS Data Integration,3
sas_data_integration_analista,"('P7_b_17 ', 'SAS Data Integration')",7.b.17_SAS Data Integration,7.b.17_SAS Data Integration,3
sas_stat,"('P4_d_8 ', 'SAS/Stata')",4.d.8_SAS/Stata,,2
sas_visual_analytics,"('P4_j_18 ', 'SAS Visual Analytics')",4.j.14_SAS Visual Analytics,4.g.14_SAS Visual Analytics,3
satisfacao_empresa_atual,"('P2_k ', 'Você está satisfeito na sua empresa atual?')",2.k_satisfeito_atualmente,2.k_satisfeito_atualmente,3
scala,"('P4_d_10 ', 'Scala')",4.d.10_Scala,4.c.7_Scala,3
script_python,"('P6_b_1 ', 'Scripts Python')",6.b.1_Scripts Python,6.b.1_Scripts Python,3
seguranca_privacidade_dados,"('P3_g_4 ', 'Preocupações com segurança e privacidade de dados')",3.g.4 Preocupações com segurança e privacidade de dados,3.h.4 Preocupações com segurança e privacidade de dados,3
sem_opiniao_llm_ia_generativa,,3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,2
senioridade,"('P2_g ', 'Nivel')",2.g_nivel,2.g_nivel,3
senioridade_vagas_recebidas_rel_experiencia,"('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência')",1.f.2_Senioridade das vagas recebidas em relação à sua experiência,1.f.2_Senioridade das vagas recebidas em relação à sua experiência,3
setor,"('P2_b ', 'Setor')",2.b_setor,2.b_setor,3
sistema_recomendacao,"('P8_b_3 ', 'Desenvolvo sistemas de recomendação (RecSys)')",8.b.3_Desenvolvo sistemas de recomendação (RecSys).,8.b.3_Desenvolvo sistemas de recomendação (RecSys).,3
sit_atual_trab,"('P2_a ', 'Qual sua situação atual de trabalho?')",2.a_situação_de_trabalho,2.a_situação_de_trabalho,3
snowflake,"('P4_g_26 ', 'Snowflake')",4.g.26_Snowflake,4.d.26_Snowflake,3
splunk,"('P4_g_30 ', 'Splunk')",4.g.30_Splunk,4.d.30_Splunk,3
sql,"('P4_d_1 ', 'SQL')",4.d.1_SQL,4.c.1_SQL,3
sql_server,"('P4_g_3 ', 'SQL SERVER')",4.g.3_SQL SERVER,4.d.3_SQL SERVER,3
sql_stored_procedures,"('P6_b_2 ', 'SQL & Stored Procedures')",6.b.2_SQL & Stored Procedures,6.b.2_SQL & Stored Procedures,3
sqlite,"('P4_g_16 ', 'SQLite')",4.g.16_SQLite,4.d.16_SQLite,3
ssis_analista,"('P7_b_16 ', 'SQL Server Integration Services (SSIS)')",7.b.16_SQL Server Integration Services (SSIS),7.b.16_SQL Server Integration Services (SSIS),3
stitch,"('P6_b_10 ', 'Stitch')",6.b.10_Stitch,6.b.10_Stitch,3
stitch_analista,"('P7_b_10 ', 'Stitch')",7.b.10_Stitch,7.b.10_Stitch,3
stored_procedures_analista,"('P7_b_2 ', 'SQL & Stored Procedures')",7.b.2_SQL & Stored Procedures,7.b.2_SQL & Stored Procedures,3
superset,"('P4_j_5 ', 'Superset')",4.j.5_Superset,4.g.5_Superset,3
sybase,"('P4_g_17 ', 'Sybase')",4.g.17_Sybase,4.d.17_Sybase,3
tableau,"('P4_j_3 ', 'Tableau')",4.j.3_Tableau,4.g.3_Tableau,3
talend,"('P6_b_7 ', 'Talend')",6.b.7_Talend,6.b.7_Talend,3
talent_analista,"('P7_b_7 ', 'Talend')",7.b.7_Talend,7.b.7_Talend,3
tecnica_metodo_utilizado_cientista_trabalho,"('P8_b ', 'Quais as técnicas e métodos listados abaixo você costuma utilizar no trabalho?')",8.b_tecnicas_e_metodos_ds,8.b_tecnicas_e_metodos_ds,3
tecnicas_clusterizacao,"('P8_b_8 ', 'Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc)')","8.b.8_Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc).","8.b.8_Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc).",3
tecnologia_utilizada_datalake,"('P6_d ', 'Qual tecnologia utilizada como plataforma do Data Lake?')",6.d_tecnologia_data_lake,6.d_tecnologia_data_lake,3
tecnologia_utilizada_dw,"('P6_f ', 'Qual tecnologia utilizada como plataforma do Data Warehouse?')",6.f_tecnologia_data_warehouse,6.f_tecnologia_data_warehouse,3
tecnologias_diarias_cientista,"('P8_3 ', 'Quais dessas tecnologias fazem parte do seu dia a dia como cientista de dados?')",8.c_tecnologias_ds,8.c_tecnologias_ds,3
tempo_busca_oport_area_dados,"('P5_c ', 'Há quanto tempo você busca uma oportunidade na área de dados?')",5.c_tempo_em_busca_de_oportunidade,5.c_tempo_em_busca_de_oportunidade,3
tempo_exp_dados,"('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')",2.i_tempo_de_experiencia_em_dados,2.i_tempo_de_experiencia_em_dados,3
tempo_exp_ti,"('P2_j ', 'Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?')",2.j_tempo_de_experiencia_em_ti,2.j_tempo_de_experiencia_em_ti,3
tempo_gasto_cientista,"('P8_d ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo no trabalho?')",8.d_maior_tempo_gasto_como_ds,8.d_maior_tempo_gasto_como_ds,3
text_doc,"('P4_b_4 ', 'Textos/Documentos')",4.b.4_Textos/Documentos,4.b.4_Textos/Documentos,3
text_doc_fonte,"('P4_c_4 ', 'Textos/Documentos')",4.c.4_Textos/Documentos,,2
tibco_spotfire,"('P4_j_20 ', 'TIBCO Spotfire')",,,1
tipo_uso_ia_generativa_llm_empresa,"('P3_f ', 'Tipos de uso de AI Generativa e LLMs na empresa')",3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,3
tipo_uso_ia_llm_empresa,"('P4_l ', 'Qual o tipo de uso de AI Generativa e LLMs na empresa')",4.l_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,4.i_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,3
token_user,,0.a_token,0.a_token,2
trab_outra_area_atuacao_insatisfacao,"('P2_l_4 ', 'Gostaria de trabalhar em em outra área de atuação')",2.l.11_Gostaria de trabalhar em outra área,2.l.11_Gostaria de trabalhar em outra área,3
tres_maiores_desafios,"('P3_d ', 'Quais são os 3 maiores desafios que você tem como gestor no atual momento?')",3.d_desafios_como_gestor,3.d_desafios_como_gestor,3
uf_onde_mora,"('P1_i_1 ', 'uf onde mora')",1.i.1_uf_onde_mora,1.i.1_uf_onde_mora,3
uf_origem,,1.k.1_uf_de_origem,1.k.1_uf_de_origem,2
usa_chatgpt_llm,"('P4_m ', 'Utiliza ChatGPT ou LLMs no trabalho?')",4.m_usa_chatgpt_ou_copilot_no_trabalho?,4.j_usa_chatgpt_ou_copilot_no_trabalho?,3
uso_adhoc_modelo_preditivo,"('P8_a_1 ', 'Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.')","8.a.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.","8.a.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.",3
uso_copilot,"('P4_m_5 ', 'Uso soluções do tipo Copilot')",4.m.5 Uso soluções do tipo Copilot,4.j.5 Uso soluções do tipo Copilot,3
uso_ia_gen_gratuita_produtividade,"('P4_m_2 ', 'Uso soluções gratuitas de AI Generativa com foco em produtividade')",4.m.2 Uso soluções gratuitas de AI Generativa com foco em produtividade,4.j.2 Uso soluções gratuitas de AI Generativa com foco em produtividade,3
uso_pago_ia_gen_empresa_paga,"('P4_m_4 ', 'A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade')",4.m.4 A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade,4.j.4 A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade,3
uso_pago_ia_gen_produtividade,"('P4_m_3 ', 'Uso e pago pelas soluções de AI Generativa com foco em produtividade')",4.m.3 Uso e pago pelas soluções de AI Generativa com foco em produtividade,4.j.3 Uso e pago pelas soluções de AI Generativa com foco em produtividade,3
utilizacao_ferramenta_avancada_estatistica,"('P7_a_9 ', 'Utilizo ferramentas avançadas de estatística como SASS, PSS, Stata etc')","7.a.9_Utilizo ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises de dados.","7.a.9_Utilizo ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises de dados.",3
vba,"('P4_d_9 ', 'Visual Basic/VBA')",4.d.9_Visual Basic/VBA,4.c.6_Visual Basic/VBA,3
vel_progressao_carreira,"('P1_f_5', 'Velocidade de progressão de carreira')",1.f.5_Velocidade de progressão de carreira,1.f.5_Velocidade de progressão de carreira,3
vertica,"('P4_g_19 ', 'Vertica')",4.g.19_Vertica,4.d.19_Vertica,3
video,"('P4_b_5 ', 'Vídeos')",4.b.5_Vídeos,4.b.5_Vídeos,3
video_fonte,"('P4_c_5 ', 'Vídeos')",4.c.5_Vídeos,,2
visao_computacional,"('P8_b_12 ', 'Utilizo métodos de Visão Computacional')",8.b.12_Utilizo métodos de Visão Computacional.,8.b.12_Utilizo métodos de Visão Computacional.,3
visao_longo_prazo_dados_empresa,"('P3_c_1 ', 'Pensar na visão de longo prazo de dados da empresa e fortalecimento da cultura analítica da companhia.')",3.c.1_Pensar na visão de longo prazo de dados,3.c.1_Pensar na visão de longo prazo de dados,3
vive_brasil,"('P1_g ', 'vive_no_brasil')",1.g_vive_no_brasil,1.g_vive_no_brasil,3
vive_estado_formacao,,1.j_vive_no_estado_de_formacao,1.j_vive_no_estado_de_formacao,2
